CHF 환자들의 RRIs에 대한 MCRDE 표준편차값(index=scale).
	0
1	3.8805556403519055
2	5.85441898196951
3	7.6230657890525295
4	8.233668105583163
5	9.172581093870946
6	9.108365176672695
7	9.377807588904416
8	9.767504924755134
9	9.60366847527098
10	9.997434441956235
11	10.423335975929094
12	10.315375777640675
13	10.346347573447721
14	10.34697185720019
15	10.238084237271782
16	11.117645724549574
17	10.214958692017072
18	10.520110177110146
19	10.72905910898218
20	10.843435517164439
21	9.969872323401058
22	10.822403647968473
23	10.223796504470972
24	10.80744501953348
25	10.01615654531264
