CHF 환자들의 RRIs에 대한 MFDE 표준편차값(index=scale).
	0
1	0.6498373458380777
2	0.6829829877466526
3	0.5630823358285114
4	0.5007939424355342
5	0.48106371709731094
6	0.44752994033315
7	0.41391532796402236
8	0.40669602587648085
9	0.374489977308204
10	0.3799016475457357
11	0.4197244798913572
12	0.35987874241244544
13	0.29929358415131946
14	0.38950415548042766
15	0.32848300747824954
16	0.34055727394871194
17	0.3473165048102842
18	0.37241323356232486
19	0.32174791525757584
20	0.3414380696348127
21	0.340521584398986
22	0.33509784872070225
23	0.27866408422980005
24	0.25345537599419515
25	0.31382518010130944
