CHF 환자들의 RRIs에 대한 MDE 표준편차값(index=scale).
	0
1	0.5330714983563024
2	0.5634804991854839
3	0.42807933253248476
4	0.41832983767403964
5	0.42062960835135665
6	0.3872632310668968
7	0.3255431899959209
8	0.3548027469890191
9	0.3170975561985783
10	0.3924133957629251
11	0.33781528126259114
12	0.35046879045273327
13	0.3151569358488946
14	0.3339870594593159
15	0.2933903073652989
16	0.3479529493954294
17	0.30386668319095406
18	0.3771607254907952
19	0.30714214546885193
20	0.3382847256561851
21	0.3146142011861688
22	0.30474984383637715
23	0.30120218401411697
24	0.29400210166286395
25	0.3241093060056764
