건강한 사람들의 RRIs에 대한 MDE 표준편차값(index=scale).
	0
1	0.3844920397895762
2	0.30299835693197075
3	0.27765638378837126
4	0.17655095351998543
5	0.15165974685670797
6	0.15835582414382393
7	0.18243451040928313
8	0.19251633654092604
9	0.1567151274045374
10	0.22096175246512023
11	0.22830321378089502
12	0.16743483994767294
13	0.19596029760904726
14	0.20073018185478847
15	0.17768638076369384
16	0.20755328108931556
17	0.17951481631456098
18	0.1902971284077419
19	0.19149245397536327
20	0.16634696624983594
21	0.13451595109634396
22	0.2080515470935543
23	0.19085534239490878
24	0.19956847776521672
25	0.14600386871147694
