건강한 사람들의 RRIs에 대한 MFDE 표준편차값(index=scale).
	0
1	0.46192424539324606
2	0.382995827741636
3	0.30923172236540086
4	0.17542603382055316
5	0.10646943998342209
6	0.15126547641350235
7	0.11422982369301647
8	0.11830282260114308
9	0.08850883178388476
10	0.1641782366715883
11	0.14543470391970426
12	0.158140549111047
13	0.15921287046074745
14	0.15596420073079528
15	0.17297739360003384
16	0.15156990577003723
17	0.15856342689797862
18	0.17898615339374002
19	0.22221970443650374
20	0.1684932751137989
21	0.1660071247626924
22	0.1789782078492403
23	0.21864032661910984
24	0.18485186348532506
25	0.22437463203127317
